hos_event_id,hos_home,hos_home_id,hos_home_cid,hos_away,hos_away_id,hos_away_cid
08dd4a96-90eb-4458-b907-7f8c484d8365,South Carolina Gamecocks,ed2bf4a2-e2cd-4eaa-aeb4-766daeb3f5d4,ed2bf4a2-e2cd-4eaa-aeb4-766daeb3f5d4,Tennessee Volunteers,5c3db449-a49c-4962-9120-1db234f5871f,5c3db449-a49c-4962-9120-1db234f5871f
0ddd48b1-21d1-4724-9761-f42cde9a61f1,Louisiana Lafayette Ragin' Cajuns,b7037d9a-a25b-4795-ad3d-4b727ff02ef4,b7037d9a-a25b-4795-ad3d-4b727ff02ef4,Georgia State Panthers,adfb3e70-117d-42ac-96c4-246ce0dea414,adfb3e70-117d-42ac-96c4-246ce0dea414
20be344b-f517-4930-be6f-e0ad02304c25,New Hampshire Wildcats,8a823149-400c-45a0-9876-21e2715a74e5,8a823149-400c-45a0-9876-21e2715a74e5,Bryant Bulldogs,fc0a5664-a928-444c-9d98-d32c4659a31c,fc0a5664-a928-444c-9d98-d32c4659a31c
ae2c5433-3f3c-459e-af22-4ca8276dc056,Maine Black Bears,eea5cd05-9bba-4ff1-9d59-179684102438,eea5cd05-9bba-4ff1-9d59-179684102438,UMass Lowell River Hawks,651b2e5d-4b85-46f3-9e2a-1f5248658ba6,651b2e5d-4b85-46f3-9e2a-1f5248658ba6
b0ef88d5-ba28-4a81-bae8-78b845c30aa6,New Jersey Tech Highlanders,74c2eac4-34be-4caa-9bd6-efe587e52fd5,74c2eac4-34be-4caa-9bd6-efe587e52fd5,UMBC Retrievers,249df5e3-6695-4b28-b581-c90b38ae87bb,249df5e3-6695-4b28-b581-c90b38ae87bb
7236540e-f3ad-43f3-922c-f00313ad654c,Georgia Bulldogs,564c9310-ddd6-47c0-9119-2d01355014b4,564c9310-ddd6-47c0-9119-2d01355014b4,Alabama Crimson Tide,acf559d3-268c-4b2a-b6d4-4b92fa88ad83,acf559d3-268c-4b2a-b6d4-4b92fa88ad83
918fab3b-e134-4a19-9edc-cf6e7f91c846,Buffalo Bulls,0e7e5f4b-b981-4ca9-b0d9-e67cdd4b323c,0e7e5f4b-b981-4ca9-b0d9-e67cdd4b323c,Eastern Michigan Eagles,d2a10153-02ef-494c-b213-83f3dbd3683b,d2a10153-02ef-494c-b213-83f3dbd3683b
aadf9be6-8601-4f43-b9f6-bbfecbad4097,Stony Brook Seawolves,626f93d7-a0e8-413d-8e7f-5b9321da2137,626f93d7-a0e8-413d-8e7f-5b9321da2137,Towson Tigers,6d53504b-5f01-460c-8e10-fcb18e1802d7,6d53504b-5f01-460c-8e10-fcb18e1802d7
22a7c95c-1717-4faf-9553-572e18c3a0cf,Texas Tech Red Raiders,dcb97feb-99cb-4150-9b67-82c4c235fa1d,dcb97feb-99cb-4150-9b67-82c4c235fa1d,Texas Christian Horned Frogs,66f229c3-ac03-4496-9175-1b255a3b9732,66f229c3-ac03-4496-9175-1b255a3b9732
25c13f55-1370-4168-b33f-34789b0ae822,Northeastern Huskies,6df73bd1-f68e-4cc1-8229-f6b0f60a66c5,6df73bd1-f68e-4cc1-8229-f6b0f60a66c5,Monmouth Hawks,9a779497-c592-4f0d-b204-d2f557aaec36,9a779497-c592-4f0d-b204-d2f557aaec36
4f2aaeb9-0f02-40db-8186-12d957bb8db0,Virginia Commonwealth Rams,8ece1898-a7ad-4d7b-881c-204f280c7803,8ece1898-a7ad-4d7b-881c-204f280c7803,George Mason Patriots,dce0f9e2-e86f-45ca-b39f-320a58ebafff,dce0f9e2-e86f-45ca-b39f-320a58ebafff
73501ecf-aeac-49d5-9436-3b0a1e86082c,Xavier Musketeers,540b9d26-a230-4e98-a2af-5dc624f726eb,540b9d26-a230-4e98-a2af-5dc624f726eb,Seton Hall Pirates,599cdda8-8ccb-4858-bda2-f1f58e8a8ada,599cdda8-8ccb-4858-bda2-f1f58e8a8ada
81c23325-5f2d-439b-ac4e-caffd9587119,Miami RedHawks,6fbd1a3e-ef08-458a-9e42-8d73a145835b,6fbd1a3e-ef08-458a-9e42-8d73a145835b,Toledo Rockets,b8d6c83e-62ae-4ef4-b7e2-b2c54e23751f,b8d6c83e-62ae-4ef4-b7e2-b2c54e23751f
8993c207-9dee-401b-9d0b-2497875b9553,Central Michigan Chippewas,795c5ca1-aea8-49a1-8651-16b729306919,795c5ca1-aea8-49a1-8651-16b729306919,Akron Zips,bdec9a9f-16da-4cdd-9e55-e2e902b8c809,bdec9a9f-16da-4cdd-9e55-e2e902b8c809
8fc09d29-bf8f-4fb9-831c-6e350ca9fac8,Richmond Spiders,51cd533d-945d-4fa9-8fb6-aadddee61758,51cd533d-945d-4fa9-8fb6-aadddee61758,Dayton Flyers,02540003-1a1f-47df-8e84-349f7106fb69,02540003-1a1f-47df-8e84-349f7106fb69
976ebdf6-d1c0-4092-b029-44b48c8715bb,Elon Phoenix,bfbac3d1-8e7f-4ab5-9f3f-834ce201fd07,bfbac3d1-8e7f-4ab5-9f3f-834ce201fd07,UNC Wilmington Seahawks,769bb3cf-6392-44fb-80cc-a329fb981b6b,769bb3cf-6392-44fb-80cc-a329fb981b6b
a1cb5018-85c0-4898-bac3-3e43f2fb9f84,Western Michigan Broncos,b92125a3-be5f-414f-8579-0011f6cd61a7,b92125a3-be5f-414f-8579-0011f6cd61a7,Ball State Cardinals,9fac1d5b-607d-4a3f-86b0-6a14d36b87b2,9fac1d5b-607d-4a3f-86b0-6a14d36b87b2
a8325338-a45e-4929-9195-207a051a5c67,Oklahoma Sooners,96c6ea1f-c67a-4fbd-bb8e-6a12f4f2eb61,96c6ea1f-c67a-4fbd-bb8e-6a12f4f2eb61,Missouri Tigers,c030fee4-7a20-45e4-bfb3-5289e9ae8e7d,c030fee4-7a20-45e4-bfb3-5289e9ae8e7d
a9835309-509b-493f-b62f-7aa6d6ea3e6d,St. John's Red Storm,f93e4f4e-2a8d-48a8-9779-0fb6c54d31bc,f93e4f4e-2a8d-48a8-9779-0fb6c54d31bc,Georgetown Hoyas,2752b51b-fe50-4644-ad87-6fffa6bd12bb,2752b51b-fe50-4644-ad87-6fffa6bd12bb
b52d774e-07e7-4079-851e-5382dfeef354,Lafayette Leopards,e0ea133e-9e69-4760-929d-81b0b8f2780b,e0ea133e-9e69-4760-929d-81b0b8f2780b,Holy Cross Crusaders,374f3273-9a78-4452-a20c-d2060cc827c4,374f3273-9a78-4452-a20c-d2060cc827c4
ba206175-77c5-4a38-b5c0-9625ff212e82,Vermont Catamounts,6696f7d5-8fa9-4ae7-aeb4-69267fda2480,6696f7d5-8fa9-4ae7-aeb4-69267fda2480,Albany Great Danes,1ec3f10d-9709-4907-8940-0bab54d22dfe,1ec3f10d-9709-4907-8940-0bab54d22dfe
